Date,EURUSD,logdiff
2000-01-01,1.0131,
2000-02-01,0.9834,-0.029754261081792542
2000-03-01,0.9643,-0.019613505461500275
2000-04-01,0.9449,-0.020323347727758588
2000-05-01,0.9059,-0.042150177113338044
2000-06-01,0.9505,0.04805923725324172
2000-07-01,0.9386,-0.012598758568166592
2000-08-01,0.9045,-0.03700709852496749
2000-09-01,0.8695,-0.039463971041012
2000-10-01,0.8525,-0.01974512463666589
2000-11-01,0.8552,0.0031621505531635175
2000-12-01,0.8983,0.04916872852432552
2001-01-01,0.9376,0.04281933058758722
2001-02-01,0.9205,-0.01840641814961562
2001-03-01,0.9083,-0.013342280164964665
2001-04-01,0.8925,-0.017548206854373777
2001-05-01,0.8753,-0.01945982891540181
2001-06-01,0.853,-0.025807137246713185
2001-07-01,0.8615,0.009915508476305263
2001-08-01,0.9014,0.045274054288563514
2001-09-01,0.9114,0.011032768573234278
2001-10-01,0.905,-0.007046935129856005
2001-11-01,0.8883,-0.018625419924270886
2001-12-01,0.8912,0.003259345397364305
2002-01-01,0.8832,-0.009017193650188715
2002-02-01,0.8707,-0.014254189688260893
2002-03-01,0.8766,0.00675330215013889
2002-04-01,0.886,0.010666162620372108
2002-05-01,0.917,0.034390521651383926
2002-06-01,0.9561,0.041755037834935484
2002-07-01,0.9935,0.03837155190047122
2002-08-01,0.9781,-0.015622147695424395
2002-09-01,0.9806,0.0025527149206857093
2002-10-01,0.9812,0.0006116831672012928
2002-11-01,1.0013,0.020278122329422985
2002-12-01,1.0194,0.017915063192184243
2003-01-01,1.0622,0.04112801008235739
2003-02-01,1.0785,0.015228957840912272
2003-03-01,1.0797,0.0011120379238837158
2003-04-01,1.0862,0.006002141847650147
2003-05-01,1.1556,0.061934322991335194
2003-06-01,1.1674,0.010159364177610514
2003-07-01,1.1365,-0.026825689477092712
2003-08-01,1.1155,-0.018650629420010806
2003-09-01,1.1267,0.009990271297533118
2003-10-01,1.1714,0.03890660848556164
2003-11-01,1.171,-0.0003415300579645286
2003-12-01,1.2298,0.04899346992165196
2004-01-01,1.2638,0.027271500819985584
2004-02-01,1.264,0.0001582403674478261
2004-03-01,1.2261,-0.03044289546846146
2004-04-01,1.1989,-0.022433930524733275
2004-05-01,1.2,0.0009170870624836402
2004-06-01,1.2146,0.012093247687383235
2004-07-01,1.2266,0.0098313097284084
2004-08-01,1.2191,-0.006133232620782664
2004-09-01,1.2224,0.002703257841155382
2004-10-01,1.2507,0.02288725514260484
2004-11-01,1.2997,0.03843007403268198
2004-12-01,1.3406,0.030983806336314534
2005-01-01,1.3123,-0.021335952021616367
2005-02-01,1.3013,-0.008417558119529434
2005-03-01,1.3185,0.013130962010629854
2005-04-01,1.2943,-0.018524718344948954
2005-05-01,1.2697,-0.019189356372646682
2005-06-01,1.2155,-0.043625137319567686
2005-07-01,1.2041,-0.009423114858004789
2005-08-01,1.2295,0.020875182758073985
2005-09-01,1.2234,-0.004973714847782751
2005-10-01,1.2022,-0.017480656203402917
2005-11-01,1.1789,-0.019571411306979786
2005-12-01,1.1861,0.006088813737148202
2006-01-01,1.2126,0.022096200602400223
2006-02-01,1.194,-0.015457799685082901
2006-03-01,1.2028,0.0073431571618267355
2006-04-01,1.2273,0.02016446248908854
2006-05-01,1.2767,0.03946198922284247
2006-06-01,1.2661,-0.008337314300097598
2006-07-01,1.2681,0.0015784077146464293
2006-08-01,1.281,0.010121305655880264
2006-09-01,1.2722,-0.006893337652030318
2006-10-01,1.2617,-0.008287667311008273
2006-11-01,1.2888,0.021251534929068977
2006-12-01,1.3205,0.024298899874422353
2007-01-01,1.2993,-0.01618479484849633
2007-02-01,1.308,0.006673595128453447
2007-03-01,1.3246,0.01261127403373502
2007-04-01,1.3513,0.019956564993161285
2007-05-01,1.3518,0.00036994562221331906
2007-06-01,1.3421,-0.007201486262493395
2007-07-01,1.3726,0.022471200070774022
2007-08-01,1.3626,-0.007312112134966464
2007-09-01,1.391,0.02062827358387509
2007-10-01,1.4233,0.02295520615313673
2007-11-01,1.4683,0.03112714989231219
2007-12-01,1.4559,-0.008481002889611677
2008-01-01,1.4728,0.01154108483958799
2008-02-01,1.4759,0.002102622268862042
2008-03-01,1.552,0.050276448555433895
2008-04-01,1.5754,0.014964786526059815
2008-05-01,1.5554,-0.012776461008381035
2008-06-01,1.5562,0.0005142049219868938
2008-07-01,1.5759,0.012579585445195829
2008-08-01,1.4955,-0.05236593855802285
2008-09-01,1.4342,-0.041853396621528316
2008-10-01,1.3266,-0.07798792435701879
2008-11-01,1.2744,-0.04014379849561689
2008-12-01,1.3511,0.05844359587007464
2009-01-01,1.3244,-0.019959548792822135
2009-02-01,1.2797,-0.03433385122954097
2009-03-01,1.305,0.019577365313243444
2009-04-01,1.3199,0.011352935378115214
2009-05-01,1.3646,0.03330536924641436
2009-06-01,1.4014,0.02661039155511019
2009-07-01,1.4092,0.005550430530649075
2009-08-01,1.4266,0.012271823376855229
2009-09-01,1.4575,0.02142864838070968
2009-10-01,1.4821,0.016737361738221823
2009-11-01,1.4908,0.0058528876422339615
2009-12-01,1.4579,-0.022315844494327053
2010-01-01,1.4266,-0.021703053266838412
2010-02-01,1.368,-0.04194417166144193
2010-03-01,1.357,-0.008073438347626749
2010-04-01,1.3417,-0.011338914238443187
2010-05-01,1.2563,-0.06576657358605378
2010-06-01,1.2223,-0.027436563227155097
2010-07-01,1.2811,0.04698475407917091
2010-08-01,1.2903,0.0071556655954123916
2010-09-01,1.3103,0.015381369152739244
2010-10-01,1.3901,0.05911956837250726
2010-11-01,1.3654,-0.017928260998866963
2010-12-01,1.3221,-0.03222604446812882
2011-01-01,1.3371,0.011281708104568744
2011-02-01,1.3656,0.021090802859611013
2011-03-01,1.402,0.026305896114304506
2011-04-01,1.446,0.030901335124174645
2011-05-01,1.4335,-0.00868211739528546
2011-06-01,1.4403,0.00473241888157977
2011-07-01,1.4275,-0.008926762674838995
2011-08-01,1.4333,0.0040548153990047076
2011-09-01,1.3747,-0.04174395245179563
2011-10-01,1.3732,-0.0010917428938373996
2011-11-01,1.3558,-0.012752096586671813
2011-12-01,1.3155,-0.030174864516517796
2012-01-01,1.291,-0.01879970963370492
2012-02-01,1.3238,0.025089276838180075
2012-03-01,1.3208,-0.0022687750789042727
2012-04-01,1.316,-0.003640780720655712
2012-05-01,1.2806,-0.02726811480056074
2012-06-01,1.2541,-0.020910534254697716
2012-07-01,1.2278,-0.021194233836608095
2012-08-01,1.2406,0.01037118354562111
2012-09-01,1.2885,0.03788361755340264
2012-10-01,1.2974,0.006883510686535366
2012-11-01,1.2837,-0.0106157286880742
2012-12-01,1.3119,0.02172993499610376
2013-01-01,1.3304,0.014003180791733294
2013-02-01,1.3347,0.003226898601387862
2013-03-01,1.2953,-0.029964218943895615
2013-04-01,1.3025,0.00554316609131178
2013-05-01,1.2983,-0.003229778261314209
2013-06-01,1.3197,0.016348721656576082
2013-07-01,1.3088,-0.008293751174301256
