lag,acf,ci
0,1.0,0.11114140351625357
1,0.30613017468216536,0.11114140351625357
2,0.007523082976412233,0.11114140351625357
3,-0.016020109509142018,0.11114140351625357
4,0.043307267606183066,0.11114140351625357
5,-0.011829387933771071,0.11114140351625357
6,0.016715675634240618,0.11114140351625357
7,-0.0558237971282581,0.11114140351625357
8,-0.020116247801896355,0.11114140351625357
9,-0.0265323396320355,0.11114140351625357
10,-0.032158300222577485,0.11114140351625357
11,-0.07546605689029832,0.11114140351625357
12,-0.09057621284186515,0.11114140351625357
13,-0.0782505316557737,0.11114140351625357
14,-0.031954380485068795,0.11114140351625357
15,-0.019730998373772117,0.11114140351625357
16,0.05404051522189473,0.11114140351625357
17,0.05088905269110214,0.11114140351625357
18,0.12402064576748587,0.11114140351625357
19,0.10650720030579161,0.11114140351625357
20,-0.004594303739515913,0.11114140351625357
