Name,alpha,beta,p_alpha,r2,typ,portfolio
SCHW,0.0049,1.64875,0.56908,0.3642,Agresívny (β>1),10
TRIP,-0.01634,1.66027,0.30086,0.1477,Agresívny (β>1),10
BLK,-0.00138,1.66766,0.71516,0.75053,Agresívny (β>1),10
AMG,-0.01055,1.67282,0.12809,0.48015,Agresívny (β>1),10
VIAB,-0.02559,1.67506,0.03342,0.23855,Agresívny (β>1),10
ADSK,0.00345,1.6954,0.73891,0.29467,Agresívny (β>1),10
HES,-0.02178,1.69759,0.04371,0.28455,Agresívny (β>1),10
BEN,-0.01792,1.70112,0.00064,0.6438,Agresívny (β>1),10
RJF,-0.00284,1.70543,0.70118,0.45189,Agresívny (β>1),10
GT,0.00069,1.715,0.93958,0.35661,Agresívny (β>1),10
IVZ,-0.01141,1.71772,0.10125,0.49183,Agresívny (β>1),10
KMX,-0.00625,1.71866,0.46931,0.38155,Agresívny (β>1),10
AMAT,0.00578,1.74449,0.49454,0.399,Agresívny (β>1),10
TIF,-0.00822,1.74531,0.28604,0.44607,Agresívny (β>1),10
AAL,0.00681,1.76762,0.58057,0.24247,Agresívny (β>1),10
AMP,-0.00188,1.81819,0.77422,0.54423,Agresívny (β>1),10
STX,-0.00915,1.85801,0.55311,0.18447,Agresívny (β>1),10
ADS,-0.00914,1.87484,0.27861,0.43655,Agresívny (β>1),10
CBG,-0.00723,1.8921,0.28202,0.5544,Agresívny (β>1),10
WHR,-0.00974,1.89757,0.23856,0.45343,Agresívny (β>1),10
BWA,-0.01028,1.90867,0.24608,0.42153,Agresívny (β>1),10
LNC,-0.00072,1.93347,0.92801,0.47494,Agresívny (β>1),10
PKG,0.00013,1.93752,0.98341,0.5979,Agresívny (β>1),10
CHK,-0.05217,2.24967,0.01498,0.15259,Agresívny (β>1),10
DVN,-0.0265,2.27407,0.05375,0.30536,Agresívny (β>1),10
MRO,-0.03333,2.42687,0.02276,0.3089,Agresívny (β>1),10
AMD,0.00331,2.53747,0.85316,0.23781,Agresívny (β>1),10
FCX,-0.03273,2.61956,0.1511,0.17274,Agresívny (β>1),10
URI,-0.0038,2.66391,0.74344,0.45021,Agresívny (β>1),10
