FkIdSkRok,FkIdSkola,Skore,VyznanSkore,Mat,PH,T5,T9,T5_mat,T5_SJ,Mat_mat,Mat_VJ,Mat_CJ,Pedag,Rozpocet
26,1703,6.3314281463623,0.5,,,8.74214630126953,7.63833160400391,8.92767791748047,8.55661468505859,7.94704360961914,7.32961959838867,,6.0957763671875,3.70986022949219
26,1704,6.46742324829102,1,6.72092361450195,4.66870956420898,,,,,5.62289581298828,6.7073974609375,7.20579833984375,3.51508712768555,6.87805252075195
26,1705,4.93926773071289,1,4.69009246826172,5.42734031677246,,,,,0,4.5963737487793,4.79095191955566,4.76531028747559,4.07376327514648
26,1706,7.52111740112305,1,,,8.96718597412109,7.9956169128418,8.86677551269531,9.06759643554688,7.55402984619141,8.43720397949219,,3.87273330688477,6.19205322265625
26,1707,5.6104736328125,1,,,6.7796501159668,7.09090576171875,6.14844627380371,7.41085357666016,6.83076019287109,7.35105209350586,,4.93279037475586,5.4156494140625
26,1708,5.36543312072754,1,4.63435287475586,5.30412406921387,,,,,0,5.55476150512695,3.71394424438477,4.6946475982666,4.12587356567383
26,1709,,,,,,,,,,,,,
26,1714,,,,,,,,,,,,5.37001686096191,8
26,1716,5.98338432312012,0.5,,,9.46518096923828,6.81724700927734,9.67744598388672,9.25291519165039,5.50332374572754,8.13117065429688,,3.54850540161133,
26,1717,6.31051788330078,0.5,6.35086326599121,,,,,,6.83517913818359,6.5510383605957,5.94125442504883,7.35327529907227,0.0204895958304405
26,1718,5.10519981384277,1,4.44381790161133,3.64504165649414,,,,,0,5.17576522827148,3.63916053771973,4.65823822021484,3.94067344665527
26,1719,6.43624114990234,1,7.24642333984375,8.89681701660156,,,,,3.97945938110352,9.29705810546875,5.6177131652832,3.44520416259766,5.26831398010254
26,1720,4.85358467102051,0.5,2.94599571228027,,,,,,0,2.90201454162598,2.99130973815918,7.94870529174805,4.44196815490723
26,1721,5.89906120300293,1,,,8.20395660400391,6.86070938110352,8.20808868408203,8.19982452392578,6.62210388183594,7.09931488037109,,4.01034126281738,5.94412117004395
26,1722,6.72158203125,1,,,9.02976837158203,8.19271392822266,9.04269485473633,9.01684188842773,8.17290573120117,8.21252136230469,,4.28396987915039,6.35557518005371
26,1723,,,,,,,,,,,,4.97827262878418,6.05613403320312
26,1724,5.53234939575195,0.5,,,7.57686767578125,6.69496002197266,7.67199401855469,7.48174057006836,6.40609436035156,6.9838249206543,,5.49580764770508,4.0446647644043
26,1726,5.49785194396973,0.5,,,5.4769214630127,6.45980834960938,4.98389015197754,5.96995277404785,5.97255249023438,6.94706497192383,,6.93704605102539,2.19161891937256
26,1727,,,,,,,,,,,,8.72607879638672,
26,1728,5.23942565917969,0.5,,,7.73221969604492,6.15496978759766,7.48265151977539,7.98178787231445,6.73338394165039,5.57655601501465,,9.02039794921875,3.65995483398437
26,1729,5.41517105102539,0.5,,,7.7361328125,6.44657440185547,7.53366317749023,7.93860244750977,6.04782638549805,6.84532318115234,,5.53341636657715,3.63014869689941
26,1731,,,,,,,,,,,,6.6705451965332,
26,1733,6.06636581420898,1,,,8.49194259643555,7.27996215820312,8.757421875,8.22646331787109,7.34255294799805,7.21737213134766,,5.14805603027344,6.02990646362305
26,1734,4.78752365112305,0.5,,,7.86445693969727,5.35772018432617,7.52772750854492,8.20118637084961,5.58971176147461,5.12572860717773,,6.3832275390625,2.70772304534912
26,1874,6.49195175170898,0.5,,,8.59513168334961,7.27881927490234,8.76563568115234,8.42462768554688,7.72646331787109,6.83117446899414,,6.15328140258789,2.56347351074219
26,1875,5.75214538574219,0.5,,,9.37400131225586,6.46224212646484,9.32942886352539,9.41857376098633,6.26373672485352,6.66074829101562,,6.21830902099609,3.81061820983887
26,1876,5.90274047851562,0.5,,,7.51304931640625,7.33355102539062,7.1896125793457,7.8364860534668,7.13314514160156,7.53395690917969,,5.27103424072266,5.36202011108398
26,1877,6.26278991699219,0.5,,,7.90878295898438,7.8017219543457,8.34734115600586,7.47022476196289,7.94925537109375,7.65418853759766,,5.22081756591797,3.95291481018066
26,1878,6.85849304199219,1,,,9.30781097412109,8.32821807861328,9.22220306396484,9.3934196472168,8.94194717407226,7.71448822021484,,5.13116798400879,6.34784927368164
26,1879,6.72390975952148,1,,,9.31025085449219,8.10309906005859,9.28694839477539,9.33355407714844,7.5367301940918,8.66946868896484,,3.85616798400879,5.76024436950684
26,1880,5.9767749786377,1,,,6.43295288085938,6.94389343261719,6.05552825927734,6.81037826538086,6.7343994140625,7.15338745117188,,4.9743724822998,3.12551498413086
26,1881,6.37544860839844,1,,,8.80741958618164,7.52780456542969,8.90854110717773,8.70629806518555,7.41258010864258,7.6430290222168,,4.2894603729248,6.31322708129883
26,1882,,,,,,,,,,,,6.85021362304687,4.4010311126709
26,1883,5.6104808807373,1,,,7.11063079833984,6.17459335327148,6.92910995483398,7.2921516418457,6.18998794555664,6.15919914245606,,4.24782180786133,6.66878890991211
26,1887,4.26564865112305,1,5.18845634460449,7.90688018798828,,,,,1.78794174194336,6.8948844909668,3.79730796813965,4.4503547668457,4.44633331298828
26,1888,6.9446418762207,1,,,9.3230712890625,8.4667121887207,9.35393447875976,9.29220809936523,8.91717987060547,8.01624450683594,,4.91621818542481,6.60693817138672
26,1889,5.98725395202637,1,,,7.90014038085937,7.34537658691406,8.11239318847656,7.68788757324219,7.36508255004883,7.32566986083984,,5.00758247375488,5.76398277282715
26,1890,4.9528133392334,1,3.51778335571289,4.88641090393066,,,,,1.78150329589844,3.81514320373535,3.3503490447998,4.58365211486816,4.05243606567383
26,1891,,,,,,,,,,,,9.29779815673828,
26,1892,6.23457679748535,1,7.55539398193359,8.13490447998047,,,,,7.93331604003906,7.98013153076172,6.98325576782227,2.78653964996338,7.06294708251953
26,1893,,,,,,,,,,,,9.41147155761719,
26,1894,,,,,,,,,,,,,
26,1896,5.21564979553223,1,4.22854461669922,3.64410858154297,,,,,0,5.28889923095703,3.05561466217041,3.7344181060791,3.9933349609375
26,1899,6.49447784423828,1,,,8.91682434082031,7.85185470581055,8.84643478393555,8.98721389770508,7.72145156860352,7.98225784301758,,4.5702033996582,5.70715637207031
26,1901,6.8681266784668,1,,,8.45635681152344,8.62809219360352,8.62337188720703,8.28934173583984,8.66830825805664,8.58787612915039,,4.13633308410644,6.51288833618164
26,1902,6.56400146484375,0.5,,,8.77491455078125,8.01503143310547,8.44690551757813,9.10292282104492,7.89673919677734,8.13332290649414,,5.90135192871094,5.06333465576172
26,1903,7.29150772094727,1,,,9.10082015991211,9.11890563964844,9.03929595947266,9.16234436035156,9.77247085571289,8.46534118652344,,3.93109245300293,5.95382118225098
26,1904,6.10575828552246,1,,,7.77455444335938,7.31570739746094,7.86455612182617,7.68455276489258,7.75296859741211,6.88290786743164,,4.82409172058105,5.66544456481934
26,1905,,,,,,,,,,,,5.24472427368164,5.47060699462891
26,1906,6.3645336151123,1,,,8.59514007568359,7.74250946044922,8.75730285644531,8.43005523681641,7.57991485595703,7.90510330200195,,4.05660743713379,5.6557315826416
26,1907,6.09733581542969,1,,,7.47026748657227,7.67213745117188,7.582421875,7.35811309814453,7.79050827026367,7.55376739501953,,3.82916450500488,6.2538932800293
26,1908,5.37081260681152,1,,,7.63062286376953,5.72478866577148,7.46663513183594,7.79461059570312,5.46167297363281,5.98790473937988,,5.80797271728516,4.97269859313965
26,1909,5.74740524291992,1,,,6.92868041992188,6.94476623535156,6.6697151184082,7.187646484375,6.61945190429688,7.2700813293457,,4.41932830810547,6.93146286010742
26,1910,,,,,,,,,,,,7.91942977905273,
26,1911,,,,,,,,,,,,,
26,1912,,,,,,,,,,,,4.21256065368652,1.87984066009521
26,1913,7.42142028808594,1,,,9.23647918701172,7.47692718505859,9.26925811767578,9.20370025634766,7.79172286987305,7.16213150024414,,4.26059913635254,5.87264060974121
26,1914,6.5165397644043,1,,,7.65537796020508,8.3091064453125,7.95136413574219,7.35939178466797,8.11809692382812,8.50011520385742,,4.73311424255371,6.23213577270508
26,1981,6.55467681884766,0.5,,,8.32888336181641,8.14816741943359,8.52799606323242,8.12977142333984,8.01440048217773,8.27811279296875,,6.54300079345703,2.60130424499512
26,1982,,,,,,,,,,,,8.72969818115234,1.98750953674316
26,1983,6.45739593505859,0.5,,,7.55709991455078,8.24329376220703,7.22462997436523,7.88957061767578,7.82600021362305,8.66058654785156,,7.02397003173828,3.77783470153809
26,1984,6.05494804382324,1,,,7.83313751220703,7.48053436279297,7.67909240722656,7.98718338012695,8.19981842041016,6.77182846069336,,5.13207130432129,5.53807601928711
26,1985,7.3665153503418,1,,,8.98291015625,8.20909652709961,9.06422424316406,8.90097122192383,8.86272201538086,7.55547103881836,,4.16016845703125,6.0519115447998
26,1986,4.5317699432373,1,5.2173095703125,6.08500747680664,,,,,3.89984092712402,5.5756721496582,4.96673698425293,3.5168830871582,4.25463905334473
26,1987,6.11414031982422,1,,,8.01889114379883,7.51726989746094,8.04640045166016,7.9913818359375,8.13421783447266,6.90032119750977,,4.03090896606445,5.92631721496582
26,1989,,,,,,,,,,,,6.61329879760742,3.32011985778809
26,1990,,,,,,,,,,,,4.42807998657227,
26,1991,6.53913269042969,1,,,8.66456298828125,8.01036682128906,8.20819931030274,9.12092590332031,7.64726867675781,8.37346496582031,,6.11595840454102,5.33586273193359
26,1992,7.12190093994141,1,,,8.78431549072266,7.94518585205078,8.91403732299805,8.65459289550781,7.82525024414062,8.06512069702148,,4.14168014526367,6.3557258605957
26,1995,4.64979209899902,1,5.59049339294434,1.92916946411133,,,,,1.99655933380127,6.29330749511719,6.60829467773438,3.46719512939453,6.71110610961914
26,1996,3.27945289611816,1,3.3466365814209,6.5188850402832,,,,,0,3.72869873046875,2.95015697479248,6.02473449707031,4.36036262512207
26,1999,6.2318416595459,1,,,8.07832489013672,7.6936279296875,7.92224731445313,8.23440246582031,7.55251007080078,7.83474655151367,,4.6419548034668,5.86484756469727
26,2001,6.23908882141113,1,6.58127746582031,5.66784210205078,,,,,5.43461036682129,7.95915222167969,5.48792877197266,3.35424346923828,4.93333168029785
26,2002,7.45282592773438,1,,,8.493701171875,8.63403167724609,8.98291397094727,8.00448760986328,8.60377502441406,8.66428833007813,,3.66587333679199,6.21431427001953
26,2003,5.65935859680176,1,6.41868438720703,7.26015701293945,,,,,5.9264232635498,4.92937507629395,8.078076171875,4.29881629943848,6.27081031799316
