FkIdObec,FkIdPodtypSkoly,FkIdTypZriadovatela,FkIdSkRok,PocetSkol,PocetZiakov,PocetTried,PocetUcitelov
54,22,1,28,0,0,0,0
54,22,1,27,0,0,0,0
54,22,1,26,0,0,0,0
54,22,1,25,0,0,0,0
54,22,1,24,1,572,24,43
54,22,1,23,1,593,24,44
54,22,1,22,1,605,25,44
54,22,1,21,1,645,28,46
54,22,1,20,1,664,29,46
54,22,1,19,1,657,30,45
54,22,1,18,1,660,29,47
54,22,1,17,1,668,28,46
54,22,1,16,1,699,31,46
54,22,1,15,1,708,30,51
54,22,1,14,1,765,30,47
54,22,1,13,1,716,29,50
54,22,1,12,0,0,0,0
54,22,1,11,1,50,2,18
54,22,1,10,1,25,1,12
54,22,1,9,0,0,0,0
54,22,1,8,0,0,0,0
54,22,1,7,0,0,0,0
54,22,1,6,0,0,0,0
54,22,1,5,0,0,0,0
54,22,1,4,0,0,0,0
54,22,1,3,0,0,0,0
54,22,1,2,0,0,0,0
54,22,1,1,0,0,0,0
60,22,1,28,2,677,33,67
60,22,1,27,2,680,33,67
60,22,1,26,2,643,31,66
60,22,1,25,2,638,30,62
60,22,1,24,2,637,29,64
60,22,1,23,2,646,29,63
60,22,1,22,2,672,28,66
60,22,1,21,2,711,29,63
60,22,1,20,2,713,28,62
60,22,1,19,2,725,30,65
60,22,1,18,2,775,32,69
60,22,1,17,2,797,33,69
60,22,1,16,2,824,33,70
60,22,1,15,2,893,35,75
60,22,1,14,2,943,36,79
60,22,1,13,2,965,37,77
60,22,1,12,1,765,28,67
60,22,1,11,2,787,28,69
60,22,1,10,2,831,28,73
60,22,1,9,2,900,28,74
60,22,1,8,2,887,28,74
60,22,1,7,2,810,26,70
60,22,1,6,2,782,26,72
60,22,1,5,2,746,25,65
60,22,1,4,2,748,25,68
60,22,1,3,2,834,27,70
60,22,1,2,2,883,28,103
60,22,1,1,2,879,28,104
5,22,1,28,0,0,0,0
5,22,1,27,0,0,0,0
5,22,1,26,0,0,0,0
5,22,1,25,0,0,0,0
5,22,1,24,0,0,0,0
5,22,1,23,0,0,0,0
5,22,1,22,0,0,0,0
5,22,1,21,0,0,0,0
5,22,1,20,0,0,0,0
5,22,1,19,0,0,0,0
5,22,1,18,0,0,0,0
5,22,1,17,1,168,10,13
5,22,1,16,1,214,10,13
5,22,1,15,1,249,10,13
5,22,1,14,1,259,11,19
5,22,1,13,1,278,12,16
5,22,1,12,0,0,0,0
5,22,1,11,0,0,0,0
5,22,1,10,0,0,0,0
5,22,1,9,0,0,0,0
5,22,1,8,0,0,0,0
5,22,1,7,0,0,0,0
5,22,1,6,0,0,0,0
5,22,1,5,0,0,0,0
5,22,1,4,0,0,0,0
5,22,1,3,0,0,0,0
5,22,1,2,0,0,0,0
5,22,1,1,0,0,0,0
13,22,1,28,0,0,0,0
13,22,1,27,0,0,0,0
13,22,1,26,0,0,0,0
13,22,1,25,0,0,0,0
13,22,1,24,0,0,0,0
13,22,1,23,0,0,0,0
13,22,1,22,0,0,0,0
13,22,1,21,0,0,0,0
13,22,1,20,0,0,0,0
13,22,1,19,0,0,0,0
13,22,1,18,0,0,0,0
13,22,1,17,0,0,0,0
13,22,1,16,0,0,0,0
13,22,1,15,0,0,0,0
13,22,1,14,0,0,0,0
13,22,1,13,0,0,0,0
13,22,1,12,0,0,0,0
13,22,1,11,0,0,0,0
13,22,1,10,0,0,0,0
13,22,1,9,0,0,0,0
13,22,1,8,1,108,4,8
13,22,1,7,1,114,4,8
13,22,1,6,1,108,4,8
13,22,1,5,1,99,4,10
13,22,1,4,1,102,4,9
13,22,1,3,1,104,4,11
13,22,1,2,1,120,4,12
13,22,1,1,0,0,0,0
1,22,3,28,1,105,11,20
1,22,3,27,1,109,12,19
1,22,3,26,1,108,13,21
1,22,3,25,1,101,10,15
1,22,3,24,1,94,10,16
1,22,3,23,1,91,10,15
1,22,3,22,1,91,11,12
1,22,3,21,1,109,10,14
1,22,3,20,2,135,11,15
1,22,3,19,1,87,8,15
1,22,3,18,2,114,9,20
1,22,3,17,2,160,10,18
1,22,3,16,2,190,12,24
1,22,3,15,2,235,14,37
1,22,3,14,2,288,17,35
1,22,3,13,2,318,17,39
1,22,3,12,0,0,0,0
1,22,3,11,0,0,0,0
1,22,3,10,0,0,0,0
1,22,3,9,0,0,0,0
1,22,3,8,0,0,0,0
1,22,3,7,0,0,0,0
1,22,3,6,0,0,0,0
1,22,3,5,0,0,0,0
1,22,3,4,0,0,0,0
1,22,3,3,0,0,0,0
1,22,3,2,0,0,0,0
1,22,3,1,0,0,0,0
35,22,3,28,1,382,19,32
35,22,3,27,1,392,17,35
35,22,3,26,1,390,19,33
35,22,3,25,1,412,19,39
35,22,3,24,1,396,18,34
35,22,3,23,1,390,16,31
35,22,3,22,1,402,17,33
35,22,3,21,3,413,18,56
35,22,3,20,2,255,12,39
35,22,3,19,2,334,15,44
35,22,3,18,2,395,18,47
35,22,3,17,2,489,24,54
35,22,3,16,2,593,30,69
35,22,3,15,2,631,29,77
35,22,3,14,2,662,26,88
35,22,3,13,2,671,25,80
35,22,3,12,1,58,2,24
35,22,3,11,1,34,1,0
35,22,3,10,0,0,0,0
35,22,3,9,0,0,0,0
35,22,3,8,0,0,0,0
35,22,3,7,0,0,0,0
35,22,3,6,0,0,0,0
35,22,3,5,0,0,0,0
35,22,3,4,0,0,0,0
35,22,3,3,0,0,0,0
35,22,3,2,0,0,0,0
35,22,3,1,0,0,0,0
1,23,1,28,0,0,0,0
1,23,1,27,0,0,0,0
1,23,1,26,0,0,0,0
1,23,1,25,0,0,0,0
1,23,1,24,0,0,0,0
1,23,1,23,0,0,0,0
1,23,1,22,0,0,0,0
1,23,1,21,0,0,0,0
1,23,1,20,0,0,0,0
1,23,1,19,0,0,0,0
1,23,1,18,0,0,0,0
1,23,1,17,0,0,0,0
1,23,1,16,0,0,0,0
1,23,1,15,0,0,0,0
1,23,1,14,0,0,0,0
1,23,1,13,0,0,0,0
1,23,1,12,0,0,0,0
1,23,1,11,0,0,0,0
1,23,1,10,0,0,0,0
1,23,1,9,0,0,0,0
1,23,1,8,1,275,12,20
1,23,1,7,1,299,13,20
1,23,1,6,2,836,36,65
1,23,1,5,2,866,37,53
1,23,1,4,2,877,37,57
1,23,1,3,2,1047,42,122
1,23,1,2,2,1111,38,138
1,23,1,1,2,1211,44,71
5,23,1,28,0,0,0,0
5,23,1,27,0,0,0,0
5,23,1,26,0,0,0,0
5,23,1,25,0,0,0,0
5,23,1,24,0,0,0,0
5,23,1,23,0,0,0,0
5,23,1,22,0,0,0,0
5,23,1,21,0,0,0,0
5,23,1,20,0,0,0,0
5,23,1,19,0,0,0,0
5,23,1,18,0,0,0,0
5,23,1,17,0,0,0,0
5,23,1,16,0,0,0,0
5,23,1,15,0,0,0,0
5,23,1,14,0,0,0,0
5,23,1,13,0,0,0,0
5,23,1,12,1,325,13,15
5,23,1,11,2,370,15,23
5,23,1,10,2,361,14,24
5,23,1,9,2,377,14,22
5,23,1,8,2,391,14,27
5,23,1,7,2,412,16,28
5,23,1,6,2,402,16,25
5,23,1,5,2,472,19,29
5,23,1,4,2,486,20,28
5,23,1,3,2,560,23,50
5,23,1,2,1,524,20,49
5,23,1,1,1,552,21,24
13,23,1,28,0,0,0,0
13,23,1,27,0,0,0,0
13,23,1,26,0,0,0,0
13,23,1,25,0,0,0,0
13,23,1,24,0,0,0,0
13,23,1,23,0,0,0,0
13,23,1,22,0,0,0,0
13,23,1,21,0,0,0,0
13,23,1,20,0,0,0,0
13,23,1,19,0,0,0,0
13,23,1,18,0,0,0,0
13,23,1,17,0,0,0,0
13,23,1,16,0,0,0,0
13,23,1,15,0,0,0,0
13,23,1,14,0,0,0,0
13,23,1,13,0,0,0,0
13,23,1,12,0,0,0,0
13,23,1,11,0,0,0,0
13,23,1,10,0,0,0,0
13,23,1,9,0,0,0,0
13,23,1,8,1,177,8,11
13,23,1,7,1,163,7,11
13,23,1,6,2,145,6,13
13,23,1,5,2,165,7,15
13,23,1,4,1,173,7,15
13,23,1,3,1,228,9,28
13,23,1,2,1,272,11,15
13,23,1,1,1,294,12,19
35,23,1,28,0,0,0,0
35,23,1,27,0,0,0,0
35,23,1,26,0,0,0,0
35,23,1,25,0,0,0,0
35,23,1,24,0,0,0,0
35,23,1,23,0,0,0,0
35,23,1,22,0,0,0,0
35,23,1,21,0,0,0,0
35,23,1,20,0,0,0,0
35,23,1,19,0,0,0,0
35,23,1,18,0,0,0,0
35,23,1,17,0,0,0,0
35,23,1,16,0,0,0,0
35,23,1,15,0,0,0,0
35,23,1,14,0,0,0,0
35,23,1,13,0,0,0,0
35,23,1,12,1,511,22,22
35,23,1,11,1,483,21,25
35,23,1,10,1,519,22,31
35,23,1,9,1,514,21,25
35,23,1,8,2,1173,45,74
35,23,1,7,2,1090,44,56
35,23,1,6,3,1239,52,68
35,23,1,5,3,1248,53,61
35,23,1,4,3,1204,50,65
35,23,1,3,3,1557,59,78
35,23,1,2,3,1703,58,82
35,23,1,1,3,1809,63,85
54,23,1,28,0,0,0,0
54,23,1,27,0,0,0,0
54,23,1,26,0,0,0,0
54,23,1,25,0,0,0,0
54,23,1,24,0,0,0,0
54,23,1,23,0,0,0,0
54,23,1,22,0,0,0,0
54,23,1,21,0,0,0,0
54,23,1,20,0,0,0,0
54,23,1,19,0,0,0,0
54,23,1,18,0,0,0,0
54,23,1,17,0,0,0,0
54,23,1,16,0,0,0,0
54,23,1,15,0,0,0,0
54,23,1,14,0,0,0,0
54,23,1,13,0,0,0,0
54,23,1,12,0,0,0,0
54,23,1,11,1,633,26,43
54,23,1,10,1,634,26,44
54,23,1,9,1,621,26,41
54,23,1,8,1,496,21,31
54,23,1,7,1,466,20,31
54,23,1,6,1,394,17,28
54,23,1,5,1,331,15,27
54,23,1,4,1,331,17,30
54,23,1,3,1,451,22,75
54,23,1,2,1,497,19,76
54,23,1,1,1,564,25,41
60,23,1,28,0,0,0,0
60,23,1,27,0,0,0,0
60,23,1,26,0,0,0,0
60,23,1,25,0,0,0,0
60,23,1,24,0,0,0,0
60,23,1,23,0,0,0,0
60,23,1,22,0,0,0,0
60,23,1,21,0,0,0,0
60,23,1,20,0,0,0,0
60,23,1,19,0,0,0,0
60,23,1,18,0,0,0,0
60,23,1,17,0,0,0,0
